Hospital,Year,Quarter,State,Total_Revenue,Other_Operating_Revenue,Medicare_Revenue,Medicaid_Revenue,Self_Pay_Revenue,Commercial_Revenue,Other_Revenue
CHI Franciscan Rehabilitation Hospital,2018,3,Washington,3821657,5124,3323497,194215,0,0,303945
BHC Fairfax Hospital Inc,2018,3,Washington,37061389,130910,8238900,16171800,0,0,12650689
Lourdes Counseling Center,2018,3,Washington,15179078,126304,1884988,9985581,0,0,3308509
Navos,2018,3,Washington,4675541,-17044,419769,3901566,0,0,354206
Cascade Behavioral Hospital,2018,3,Washington,21841492,965,11618293,7034353,0,0,3188846
BHC Fairfax Behavioral Health - Everett,2018,3,Washington,7795315,0,2492000,3581200,0,0,1722115
BHC Fairfax Behavioral Health - Monroe,2018,3,Washington,6857704,0,4421200,1458800,0,0,977704
Smokey Point Behavioral Hospital,2018,3,Washington,18086400,382914,2682250,8370000,0,0,7034150
Swedish Health Services DBA Swedish Medical Cent,2018,4,Washington,1075842946,20111223,398644380,157294851,0,0,519903715
Swedish Health Services DBA Swedish Medical Cente,2018,4,Washington,458647490,2561013,226842766,58038607,0,0,173766117
Klickitat County Public Hospital District #1,2018,4,Washington,10082325,0,4724906,2736357,0,0,2621062
Virginia Mason Medical Center,2018,4,Washington,623062978,17767742,290118925,47625372,0,0,285318681
Seattle Children's Hospital,2018,4,Washington,717970803,60621327,9257772,352150656,0,0,356562375
Newport Hospital & Health Services,2018,4,Washington,12837358,146986,5595385,3706690,0,0,3535283
Lourdes Medical Center,2018,4,Washington,74923304,3307017,29030268,11184936,0,0,34708100
Three Rivers Hospital,2018,4,Washington,5440679,67886,1953603,527130,0,0,2959946
PeaceHealth St John Medical Center,2018,4,Washington,216570525,1214924,105420853,54699731,0,0,56449941
Harborview Medical Center,2018,4,Washington,630368492,27061505,206244033,191227185,0,0,232897274
St.Joseph Medical Center,2018,4,Washington,746611358,3338846,364849130,144957544,0,0,236804684
St. Elizabeth Hospital,2018,4,Washington,53948538,105069,20857880,9599801,0,0,23490857
Deaconess Hospital - MultiCare Health Systems,2018,4,Washington,393763415,1415635,191687876,76890701,0,0,125184838
Olympic Medical Center,2018,4,Washington,101214862,3182849,59883012,16497744,0,0,24834106
RCCH Trios Health LLC,2018,4,Washington,114301686,426730,45429988,20762065,0,0,48109633
Shriners Hospitals for Children - Spokane,2018,4,Washington,10317556,57928,2604,4928031,0,0,5386921
Columbia Basin Hospital,2018,4,Washington,5819147,538149,2474970,1791224,0,0,1552953
PHM Medical Center,2018,4,Washington,0,0,0,0,0,0,0
PROVIDENCE ST MARY MEDICAL CENTER,2018,4,Washington,152430698,1127573,80616123,23110832,0,0,48703743
Forks Community Hospital,2018,4,Washington,11492951,889381,4105075,3664737,0,0,3723139
Public Hospital District 2 dba Willapa Harbor Hos,2018,4,Washington,8694500,358091,4546617,1668599,0,0,2479284
YAKIMA VALLEY MEMORIAL,2018,4,Washington,329734543,4064478,156316107,75109862,0,0,98308574
Grays Harbor Community Hospital,2018,4,Washington,90376084,1023426,41155738,22695617,0,0,26524729
Samaritan Hospital,2018,4,Washington,62531673,751093,20357728,19182591,0,0,22991354
Pacific County Public Healthcare Services Distric,2018,4,Washington,0,0,0,0,0,0,0
Odessa Memorial Healthcare Center,2018,4,Washington,1341617,84617,380869,487814,0,0,472934
Good Samaritan Hospital,2018,4,Washington,491736041,1345228,215198126,95795355,0,0,180742560
Garfield County Public Hospital District,2018,4,Washington,0,0,0,0,0,0,0
Providence Regional Medical Center Everett,2018,4,Washington,573874440,5689769,275099216,92847553,0,0,205927671
Jefferson County Public Hospital District No 2,2018,4,Washington,57727090,1624766,34501000,8507698,0,0,14718392
Skyline Health,2018,4,Washington,6776033,-69620,3009486,1773473,0,0,1993074
Astria Regional Medical Center,2018,4,Washington,0,0,0,0,0,0,0
EvergreenHealth Monroe,2018,4,Washington,34090914,1441011,12069354,7361236,0,0,14660324
CASCADE VALLEY HOSPITAL,2018,4,Washington,43448071,644444,16502156,10162918,0,0,16782997
NORTH VALLEY HOSPITAL OCPHD#4,2018,4,Washington,7090705,575702,4322031,1355466,0,0,1413208
Tri-State Memorial Hospital,2018,4,Washington,45863043,1034665,26067591,4161550,0,0,15633902
EAST ADAMS RURAL HEALTHCARE,2018,4,Washington,0,0,0,0,0,0,0
Othello Community Hospital,2018,4,Washington,9531383,88845,1453528,5422079,0,0,2655776
Highline Medical Center,2018,4,Washington,231651681,2425997,96932671,55597948,0,0,79121062
University of Washington Medical Center,2018,4,Washington,803536878,27560283,283515930,116427775,0,0,403593173
Quincy Valley Medical Center,2018,4,Washington,1983927,1663,415377,443318,0,0,1125232
UW Medical Center ? Northwest,2018,4,Washington,327974760,4863633,155253386,44814809,0,0,127906565
Overlake Hospital Medical Center,2018,4,Washington,428788587,1889900,182087378,26800938,0,0,219900271
St. Clare Hospital,2018,4,Washington,230748233,697268,104953568,62169077,0,0,63625588
Island Hospital,2018,4,Washington,60606381,288707,29893950,6525242,0,0,24187189
LINCOLN COUNTY HOSPITAL DISTRICT # 3,2018,4,Washington,8190744,327691,4306020,1732289,0,0,2152435
Swedish Edmonds,2018,4,Washington,226738416,1637477,102873756,41776902,0,0,82087758
HOLY FAMILY HOSPITAL,2018,4,Washington,158999656,1285828,77384734,36606311,0,0,45008611
Kittitas Valley Healthcare,2018,4,Washington,36544445,818304,15397614,6787288,0,0,14359543
Columbia County Public Hospital District No. 1,2018,4,Washington,6591775,162336,3190992,1165704,0,0,2235079
St Michael Medical Center,2018,4,Washington,588715773,1378261,311938134,94688106,0,0,182089533
PeaceHealth St Joseph Medical Center,2018,4,Washington,399566123,1083860,211129610,73210225,0,0,115226288
Mid Valley Hospital,2018,4,Washington,17166465,88879,6813253,4912028,0,0,5441184
Kindred Hospital Seattle - Northgate,2018,4,Washington,36834123,0,13926968,3059129,0,0,19848026
Douglas Lincoln and Okanogan Public Hospital Di,2018,4,Washington,11437960,2417266,4585049,3508797,0,0,3344114
Public Hospital District No 1 of Mason County WA,2018,4,Washington,58891277,1967664,27570388,16737386,0,0,14583503
Whitman Hospital & Medical Clinics,2018,4,Washington,12002634,280265,6185449,1782931,0,0,4034254
Valley Medical Center,2018,4,Washington,538810600,13263036,204143064,106287874,0,0,228379662
Whidbey Island Public Hospital District,2018,4,Washington,90957762,362217,44660843,11564542,0,0,34732377
St. Luke's Rehabilitation Institute,2018,4,Washington,28777250,820372,15032366,5153015,0,0,8591869
Cascade Medical Center,2018,4,Washington,5810420,286954,3074083,786433,0,0,1949904
Providence St. Peter Hospital,2018,4,Washington,525942606,2006042,291887768,85065712,0,0,148989126
Kadlec Regional Medical Center,2018,4,Washington,475030559,5635354,194034085,98812750,0,0,182183724
Sacred Heart Medical Center,2018,4,Washington,644672182,11621112,293060359,149808589,0,0,201803234
EvergreenHealth Kirkland / King Country Public Ho,2018,4,Washington,482107620,8349043,195105824,39350514,0,0,247651282
Lake Chelan Health,2018,4,Washington,11028284,655095,4777112,2188878,0,0,4062294
Ferry County Memorial Hospital,2018,4,Washington,4182099,182311,1943592,1144806,0,0,1093701
Confluence Health: Central Washington Hospital,2018,4,Washington,236104683,2440793,123341246,44541594,0,0,68221843
PeaceHealth Southwest Medical Center,2018,4,Washington,488730354,1059651,235984670,100031916,0,0,152713768
Public Hospital District #1-A of Whitman County,2018,4,Washington,34120503,645489,11295003,4002982,0,0,18822518
Arbor Health,2018,4,Washington,10706751,194881,5750812,2572081,0,0,2383858
Mary Bridge Children's Hospital,2018,4,Washington,205294387,2445934,98359,113249400,0,0,91946628
Tacoma General / Allenmore,2018,4,Washington,873193822,1996257,348159412,212701025,0,0,312333385
Valley Hospital and Medical Center,2018,4,Washington,181155757,259529,78124351,37182956,0,0,65848450
Auburn Medical Center,2018,4,Washington,202238787,1052198,80334799,54537223,0,0,67366765
Grays Harbor Count,2018,4,Washington,19829406,2842799,7004295,6272907,0,0,6552204
Providence Centralia Hospital,2018,4,Washington,190869449,496711,97443773,41760471,0,0,51665205
MOUNT CARMEL HOSPITAL,2018,4,Washington,27260705,138542,13861585,6070822,0,0,7328298
PROVIDENCE ST JOSEPH HOSPITAL,2018,4,Washington,10275393,4575,5745502,2402999,0,0,2126892
Snoqualmie Valley Hospital,2018,4,Washington,12473339,141300,7951799,1185241,0,0,3336299
Capital Medical Center,2018,4,Washington,160032256,71375,77420127,25392505,0,0,57219624
Astria Sunnyside Hospital,2018,4,Washington,0,0,0,0,0,0,0
ASTRIA TOPPENISH HOSPITAL,2018,4,Washington,0,0,0,0,0,0,0
St. Francis Hospital,2018,4,Washington,327118201,1061674,136112499,72846858,0,0,118158844
Regional Hospital for Respiratory & Complex Care,2018,4,Washington,11144193,0,8486510,521819,0,0,2135864
Fred Hutchinson Cancer Center,2018,4,Washington,315718409,9420654,108091714,31626747,0,0,175999948
Confluence Health: Wenatchee Valley Hospital,2018,4,Washington,153898512,15688396,71204233,25071273,0,0,57623006
PeaceHealth United General Medical Center,2018,4,Washington,32574968,14097,16649328,6218826,0,0,9706814
SKAGIT REGIONAL HEALTH,2018,4,Washington,305401809,5036396,156588370,57743843,0,0,91069596
Legacy Salmon Creek Medical Center,2018,4,Washington,282408865,1273305,120287015,51930452,0,0,110191398
St. Anthony Hospital,2018,4,Washington,201526711,1686390,95698084,29010578,0,0,76818049
Swedish Issaquah,2018,4,Washington,175607565,2786265,63446899,14750525,0,0,97410141
PeaceHealth Peace Island Medical Center,2018,4,Washington,8892343,14147,5164563,1061454,0,0,2666326
MultiCare Covington Medical Center,2018,4,Washington,71177092,47675,16140965,19685979,0,0,35350148
CHI Franciscan Rehabilitation Hospital,2018,4,Washington,6905533,6399,4133664,112761,0,0,2659108
BHC Fairfax Hospital Inc,2018,4,Washington,38553356,151016,7964750,18023600,0,0,12565006
Lourdes Counseling Center,2018,4,Washington,15228119,17617,1746972,10050191,0,0,3430956
Navos,2018,4,Washington,8393572,-63648,1352158,5941925,0,0,1099489
Cascade Behavioral Hospital,2018,4,Washington,21117220,702,11481822,6467094,0,0,3168304
BHC Fairfax Behavioral Health - Everett,2018,4,Washington,7605321,0,1864800,3950800,0,0,1789721
BHC Fairfax Behavioral Health - Monroe,2018,4,Washington,6963778,0,3718400,1892800,0,0,1352578
Smokey Point Behavioral Hospital,2018,4,Washington,20903000,400041,3071850,8847000,0,0,8984150
Rainier Springs,2018,4,Washington,2861800,53586,521400,1091200,0,0,1249200
Swedish Health Services DBA Swedish Medical Cent,2019,1,Washington,1077069758,19421326,398772646,179087336,0,0,499209776
Swedish Health Services DBA Swedish Medical Cente,2019,1,Washington,455553084,2035903,247643885,50464221,0,0,157444978
Klickitat County Public Hospital District #1,2019,1,Washington,10603523,0,5431652,2779462,0,0,2392409
Virginia Mason Medical Center,2019,1,Washington,622191466,14481142,292893040,50595869,0,0,278702557
Seattle Children's Hospital,2019,1,Washington,703053587,67320995,9322019,352789971,0,0,340941597
Newport Hospital & Health Services,2019,1,Washington,13921455,170124,6092125,4070567,0,0,3758763
Lourdes Medical Center,2019,1,Washington,72600709,5998777,30455901,11664909,0,0,30479899
Three Rivers Hospital,2019,1,Washington,5658629,46904,2262687,481290,0,0,2914652
PeaceHealth St John Medical Center,2019,1,Washington,235391010,1235816,120704951,57802823,0,0,56883236
Harborview Medical Center,2019,1,Washington,622179012,26308784,209733608,198822832,0,0,213622572
St.Joseph Medical Center,2019,1,Washington,765049051,3515642,357658104,159135263,0,0,248255684
St. Elizabeth Hospital,2019,1,Washington,58527849,99140,23623849,10584952,0,0,24319048
Deaconess Hospital - MultiCare Health Systems,2019,1,Washington,418006270,1816430,204714510,85273798,0,0,128017962
Olympic Medical Center,2019,1,Washington,106800485,2836300,61825294,18180690,0,0,26794501
RCCH Trios Health LLC,2019,1,Washington,119235045,1061469,47900356,23638619,0,0,47696070
Shriners Hospitals for Children - Spokane,2019,1,Washington,8863995,43712,466,3849042,0,0,5014487
Columbia Basin Hospital,2019,1,Washington,6375700,520748,2889620,1885277,0,0,1600803
PHM Medical Center,2019,1,Washington,34685089,614381,10933694,11125138,0,0,12626257
PROVIDENCE ST MARY MEDICAL CENTER,2019,1,Washington,153532805,1528774,79184664,25912040,0,0,48436101
Forks Community Hospital,2019,1,Washington,12649459,508325,4610855,4076203,0,0,3962401
Public Hospital District 2 dba Willapa Harbor Hos,2019,1,Washington,9295447,133070,4957162,2137388,0,0,2200897
YAKIMA VALLEY MEMORIAL,2019,1,Washington,347601002,5657322,166142080,83249989,0,0,98208933
Grays Harbor Community Hospital,2019,1,Washington,92214473,989164,43376312,21573237,0,0,27264924
Samaritan Hospital,2019,1,Washington,64528042,468094,21222295,19697412,0,0,23608335
Pacific County Public Healthcare Services Distric,2019,1,Washington,0,0,0,0,0,0,0
Odessa Memorial Healthcare Center,2019,1,Washington,1408396,44105,457514,448170,0,0,502712
Good Samaritan Hospital,2019,1,Washington,511109617,818442,239827271,97456372,0,0,173825974
Garfield County Public Hospital District,2019,1,Washington,1177140,179509,76359,17593,0,0,1083188
Providence Regional Medical Center Everett,2019,1,Washington,592098972,4161076,283831065,102006249,0,0,206261658
Jefferson County Public Hospital District No 2,2019,1,Washington,61732382,1410658,36517493,9232916,0,0,15981973
Skyline Health,2019,1,Washington,7272117,40682,3953961,1494703,0,0,1823453
Astria Regional Medical Center,2019,1,Washington,0,0,0,0,0,0,0
EvergreenHealth Monroe,2019,1,Washington,34963004,1146742,11442598,7897348,0,0,15623058
CASCADE VALLEY HOSPITAL,2019,1,Washington,49201099,690341,18682796,13858356,0,0,16659947
NORTH VALLEY HOSPITAL OCPHD#4,2019,1,Washington,7070595,278497,4237198,1329412,0,0,1503985
Tri-State Memorial Hospital,2019,1,Washington,43786209,867344,25731670,4852988,0,0,13201551
EAST ADAMS RURAL HEALTHCARE,2019,1,Washington,2566833,5155,729437,82267,0,0,1755129
Othello Community Hospital,2019,1,Washington,9067542,48252,1334569,5269209,0,0,2463764
Highline Medical Center,2019,1,Washington,247060758,2215116,111601070,59546859,0,0,75912829
University of Washington Medical Center,2019,1,Washington,782092941,22992724,267972397,119981309,0,0,394139235
Quincy Valley Medical Center,2019,1,Washington,1835804,22,486846,501575,0,0,847383
UW Medical Center ? Northwest,2019,1,Washington,302168219,3946830,147140981,40864449,0,0,114162789
Overlake Hospital Medical Center,2019,1,Washington,417385712,2665751,188852069,27528990,0,0,201004653
St. Clare Hospital,2019,1,Washington,233457785,610946,106355919,64194254,0,0,62907612
Island Hospital,2019,1,Washington,59132217,215096,29110279,6403814,0,0,23618124
LINCOLN COUNTY HOSPITAL DISTRICT # 3,2019,1,Washington,8108363,197519,4145362,1843315,0,0,2119686
Swedish Edmonds,2019,1,Washington,235189311,1439167,108147329,42769105,0,0,84272877
HOLY FAMILY HOSPITAL,2019,1,Washington,166723907,1008438,80306999,40748187,0,0,45668721
Kittitas Valley Healthcare,2019,1,Washington,37397917,977703,16801114,6730127,0,0,13866676
Columbia County Public Hospital District No. 1,2019,1,Washington,6642121,232113,3835907,295700,0,0,2510514
St Michael Medical Center,2019,1,Washington,615946368,1030447,323621198,102146088,0,0,190179082
PeaceHealth St Joseph Medical Center,2019,1,Washington,414395298,1186298,226398869,73310531,0,0,114685898
Mid Valley Hospital,2019,1,Washington,18604021,61566,7264390,5432372,0,0,5907259
Kindred Hospital Seattle - Northgate,2019,1,Washington,37860508,0,15427229,3703786,0,0,18729493
Douglas Lincoln and Okanogan Public Hospital Di,2019,1,Washington,12113476,95918,5511198,3098693,0,0,3503585
Public Hospital District No 1 of Mason County WA,2019,1,Washington,63480323,1569377,29019102,18713522,0,0,15747699
Whitman Hospital & Medical Clinics,2019,1,Washington,11196838,206116,5648226,1824299,0,0,3724313
Valley Medical Center,2019,1,Washington,532182348,15648121,214340558,107209893,0,0,210631897
Whidbey Island Public Hospital District,2019,1,Washington,59561234,263376,28390993,7988522,0,0,23181719
St. Luke's Rehabilitation Institute,2019,1,Washington,29720272,539459,13994563,7163740,0,0,8561969
Cascade Medical Center,2019,1,Washington,5769131,233217,3137199,736325,0,0,1895607
Providence St. Peter Hospital,2019,1,Washington,528378538,1898036,289309928,90424628,0,0,148643982
Kadlec Regional Medical Center,2019,1,Washington,503691045,7115878,212876168,106492393,0,0,184322484
Sacred Heart Medical Center,2019,1,Washington,643532260,10579697,287886156,155092444,0,0,200553660
EvergreenHealth Kirkland / King Country Public Ho,2019,1,Washington,489732685,8154104,197387292,43061185,0,0,249284208
Lake Chelan Health,2019,1,Washington,10885347,229540,3986538,2350145,0,0,4548664
